did,Dataset,domain,Classifier,acc_mean,acc_stddev,train_time,test_time,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5
46,splice,biology,DecisionTree,0.9078369905956112,0.012035331548873,0.4583864212036133,0.0787727832794189,0.8981191222570533,0.927899686520376,0.9012539184952978,0.896551724137931,0.915360501567398
46,splice,biology,SVM,0.8689655172413794,0.0070515497675247,1.2051260471343994,0.5624167919158936,0.8589341692789969,0.8808777429467085,0.8683385579937304,0.8699059561128527,0.8667711598746082
46,splice,biology,KNN,0.6492163009404388,0.0128258762040619,0.3642513751983642,0.3991844654083252,0.6504702194357367,0.6661442006269592,0.6269592476489029,0.6551724137931034,0.6473354231974922
46,splice,biology,LogisticRegression,0.8338557993730408,0.0126949571983175,0.8426532745361328,0.0800108909606933,0.8260188087774295,0.8181818181818182,0.829153605015674,0.85423197492163,0.841692789968652
46,splice,biology,Perceptron,0.7539184952978056,0.0332790771839253,0.4005568027496338,0.0750792026519775,0.7053291536050157,0.7554858934169278,0.731974921630094,0.7758620689655172,0.8009404388714734
46,splice,biology,MLP,0.8586206896551725,0.0156237439427926,13.314053773880005,0.0845470428466796,0.8636363636363636,0.877742946708464,0.8652037617554859,0.8307210031347962,0.8557993730407524
40670,dna,biology,DecisionTree,0.9146237998454748,0.0079439872386377,2.5876107215881348,0.6370673179626465,0.9231974921630094,0.9199372056514914,0.9042386185243328,0.9199372056514914,0.9058084772370488
40670,dna,biology,SVM,0.9595094560611802,0.0052036284262875,10.305938720703123,2.508119821548462,0.962382445141066,0.957613814756672,0.9591836734693876,0.967032967032967,0.9513343799058084
40670,dna,biology,KNN,0.7586325005044217,0.0194532286391711,2.320904493331909,1.348036289215088,0.7554858934169278,0.7394034536891679,0.792778649921507,0.7645211930926217,0.7409733124018838
40670,dna,biology,LogisticRegression,0.9322012962407052,0.0035324590145242,5.750983715057373,0.68607497215271,0.938871473354232,0.9324960753532182,0.9293563579277864,0.9309262166405023,0.9293563579277864
40670,dna,biology,Perceptron,0.9425569504387236,0.0094702017928218,2.886519432067871,0.6845989227294922,0.9561128526645768,0.9387755102040816,0.9419152276295132,0.9277864992150706,0.9481946624803768
40670,dna,biology,MLP,0.948836877408306,0.0098170515716864,24.85202479362488,0.6999683380126953,0.9545454545454546,0.9544740973312402,0.9544740973312402,0.9513343799058084,0.9293563579277864
1128,OVA_Breast,biology,DecisionTree,0.9320388349514562,0.0106353894661197,171.87840104103088,1.0641000270843506,0.948220064724919,0.9385113268608414,0.9320388349514565,0.919093851132686,0.9223300970873788
1128,OVA_Breast,biology,LogisticRegression,0.9689320388349516,0.0072653541490756,49.95173096656799,1.2505691051483154,0.970873786407767,0.9805825242718448,0.9676375404530744,0.9676375404530744,0.9579288025889968
1128,OVA_Breast,biology,Perceptron,0.9656957928802588,0.0085867308488165,30.50511407852173,0.4721832275390625,0.9546925566343042,0.9805825242718448,0.9611650485436892,0.9676375404530744,0.964401294498382
1130,OVA_Lung,biology,DecisionTree,0.9650485436893204,0.0109076372468302,70.94312739372253,0.4400901794433594,0.964401294498382,0.9773462783171522,0.970873786407767,0.9676375404530744,0.9449838187702264
1130,OVA_Lung,biology,LogisticRegression,0.9818770226537218,0.0078207417304819,15.711881637573242,0.5296919345855713,0.9870550161812298,0.9902912621359224,0.9741100323624596,0.9870550161812298,0.970873786407767
1130,OVA_Lung,biology,Perceptron,0.977346278317152,0.0064724919093851,11.622616529464722,0.4839613437652588,0.9870550161812298,0.9773462783171522,0.9805825242718448,0.9741100323624596,0.9676375404530744
1134,OVA_Kidney,biology,DecisionTree,0.9708737864077668,0.0100271413494043,47.09162902832031,0.42610764503479,0.9546925566343042,0.9805825242718448,0.964401294498382,0.9741100323624596,0.9805825242718448
1134,OVA_Kidney,biology,LogisticRegression,0.9864077669902912,0.0024217847163585,15.402487993240356,0.5813045501708984,0.9870550161812298,0.9902912621359224,0.9870550161812298,0.9838187702265372,0.9838187702265372
1134,OVA_Kidney,biology,Perceptron,0.9870550161812296,0.0045767429203012,12.419482469558716,0.5101943016052246,0.9838187702265372,0.9935275080906149,0.9870550161812298,0.9805825242718448,0.9902912621359224
1494,qsar-biodeg,biology,DecisionTree,0.8180094786729857,0.0219447145076591,0.2202517986297607,0.0549392700195312,0.8104265402843602,0.7914691943127962,0.8009478672985783,0.8388625592417062,0.8483412322274881
